Index,BreweryName,BreweryType,Latitude,Longitude,County,State,CountyID,LargestList,BestList,median_HHI_2019,bach_deg_pct_14to18,pop_density_per_mile,change_in_pop_decade,perc_female,perc_hispanic,brewery_count,unemployment_rate,perc_age_25_39
0,Avondale Brewing Co,micro,33.524521,-86.774322,Jefferson,AL,1073,FALSE,FALSE,54127,54127,592.627754,0.0002,0.527,0.041,9,2.9,0.2124
1,Trim Tab Brewing,micro,33.51284923,-86.79140006,Jefferson,AL,1073,FALSE,FALSE,54127,54127,592.627754,0.0002,0.527,0.041,9,2.9,0.2124
2,Yellowhammer Brewery,micro,34.7277523,-86.5932014,Madison,AL,1089,FALSE,FALSE,68609,68609,465.2099008,0.1022,0.511,0.052,10,2.5,0.2063
3,Bearpaw River Brewing Co,micro,61.5752695,-149.4127103,Matanuska-Susitna,AK,2170,FALSE,FALSE,75856,75856,4.40171688,0.1784,0.481,0.052,2,6.9,0.2159
4,King Street Brewing Co,micro,61.13848935,-149.879076,Anchorage,AK,2020,FALSE,FALSE,82512,82512,168.9463672,-0.0133,0.491,0.094,12,5.1,0.2482
5,1912 Brewing,micro,32.24673727,-110.9927505,Pima,AZ,4019,FALSE,FALSE,56150,56150,113.9953082,0.064,0.508,0.378,19,4.4,0.1894
6,Bad Water Brewing,contract,33.49726157,-111.9244743,Maricopa,AZ,4013,FALSE,FALSE,68634,68634,487.537422,0.149,0.506,0.314,56,4,0.2145
7,BJs Restaurant & Brewery - Chandler,brewpub,33.3053455,-111.911126,Maricopa,AZ,4013,FALSE,FALSE,68634,68634,487.537422,0.149,0.506,0.314,56,4,0.2145
8,BlackRock Brewers,micro,32.20160831,-110.8217786,Pima,AZ,4019,FALSE,FALSE,56150,56150,113.9953082,0.064,0.508,0.378,19,4.4,0.1894
9,Dragoon Brewing Co,micro,32.25049461,-111.0054521,Pima,AZ,4019,FALSE,FALSE,56150,56150,113.9953082,0.064,0.508,0.378,19,4.4,0.1894
10,Grand Canyon Brewing Company,micro,35.2500282,-112.1892168,Coconino,AZ,4005,FALSE,FALSE,58301,58301,7.705939427,0.0631,0.507,0.143,9,5.5,0.1996
